a0,a2,a3,a4,a7,a10,class
200.621502,0.141185,8.572873,0.009805,-0.039649,346885.9349,D
294.169781,0.135886,8.591133,0.00871,-0.145995,709952.5113,D
292.855702,0.142729,8.564446,0.008546,-0.139948,720090.2714,D
303.642061,0.142485,8.560796,0.008327,-0.140545,749360.422,D
313.720493,0.149728,8.535217,0.0077,-0.074927,806563.9889,D
313.720493,0.149728,8.535217,0.0077,-0.074927,806563.9889,D
316.316895,0.153256,8.508244,0.007509,-0.03423,813245.8085,D
320.731366,0.15438,8.497053,0.007346,0.034301,808064.2654,D
323.485156,0.154499,8.488103,0.006795,0.068868,847883.6715,D
230.66049,0.252477,7.947176,0.011321,-0.004191,1313801.607,D
260.237873,0.117362,8.717867,0.006605,-0.384992,521337.3965,D
230.004621,0.287545,7.873973,0.011505,0.039264,1306640.22,D
321.324044,0.225625,7.89595,0.007088,-0.212651,1509976.587,D
322.469788,0.229515,7.847619,0.007514,-0.205998,1550268.992,D
321.102852,0.233835,7.805395,0.007495,-0.212042,1551782.304,D
321.102852,0.233835,7.805395,0.007495,-0.212042,1551782.304,D
322.462537,0.244711,7.756772,0.00723,-0.223857,1565592.469,D
321.059838,0.251032,7.723332,0.006964,-0.23896,1578472.483,D
316.037546,0.257201,7.70495,0.006388,-0.269058,1551311.746,D
313.077265,0.258093,7.696247,0.005868,-0.254793,1612320.858,D
312.124793,0.25735,7.704073,0.005766,-0.242758,1624696.784,D
344.204468,0.109666,8.801715,0.004698,-0.514768,1205000.63,D
312.19419,0.259193,7.694266,0.005772,-0.245433,1630881.57,D
260.551441,0.177214,8.3089,0.008865,-0.63499,1134030.661,D
246.697039,0.183558,8.272023,0.008859,-0.649986,1068830.225,D
314.971084,0.183951,8.360095,0.006914,-0.699725,1324947.755,D
256.021845,0.184937,8.322732,0.00904,-0.56695,1053697.059,D
265.530013,0.188314,8.31025,0.008513,-0.602702,1117572.327,D
284.182149,0.181523,8.338124,0.008727,-0.625254,1191935.967,D
239.62854,0.177536,8.356631,0.008866,-0.628468,713013.2008,D
238.811229,0.171953,8.363444,0.008848,-0.623964,675037.894,D
245.993441,0.171133,8.389507,0.009379,-0.567243,711061.1618,D
349.172972,0.114857,8.806668,0.004264,-0.569438,1291892.174,D
245.447397,0.158826,8.443545,0.012011,-0.454094,616426.2317,D
276.029189,0.173247,8.45117,0.009879,-0.569905,615183.8215,D
306.613818,0.17325,8.464981,0.009219,-0.618817,772633.4992,D
253.567353,0.162109,8.490585,0.008839,-0.528815,554383.0713,D
281.920685,0.156711,8.509246,0.007923,-0.564806,676666.1298,D
346.49314,0.151839,8.562135,0.007303,-0.64327,1186534.215,D
325.021656,0.152973,8.561314,0.006574,-0.620531,1057089.668,D
313.965445,0.153971,8.563115,0.00656,-0.643387,986969.8398,D
322.674424,0.156233,8.564991,0.006385,-0.548062,1189623.1,D
305.264352,0.16212,8.501689,0.006804,-0.44762,1078986.129,D
322.196295,0.122734,8.756167,0.004596,-0.503263,1198360.05,D
254.063813,0.182221,8.343924,0.0074,-0.423503,788811.6509,D
